"_raw",index,host,source,sourcetype,"_time"
"2012-05-31 03:30:26 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/Resources/ross-datagens/"" Datacenter=""SPLUNK-VMI"" Cluster=""SV502-Lab-01"" HostSystem=""esxi4104.splunk.com"" physicalhost=""esxi4104.splunk.com"" datacentermoid=""datacenter-2"" clustermoid=""domain-c7"" hostsystemmoid=""host-20"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"" instanceUuid=""5012c4f6-e0b3-9daf-62a0-a1b47e67265e"" uuid=""4212c080-295c-e11e-0eba-a1b41060ae79"" typeduipath=""/Folder:VCENTER41/Datacenter:SPLUNK-VMI/ClusterComputeResource:SV502-Lab-01/ResourcePool:ross-datagens/"" uipath=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/ross-datagens/"" moid=""vm-2179"" type=""VirtualMachine"" name=""ross-datagen0044"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338435026
"2012-05-31 03:30:02 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/Resources/QA/"" Datacenter=""SPLUNK-VMI"" Cluster=""SV502-Lab-01"" HostSystem=""esxi4104.splunk.com"" physicalhost=""esxi4104.splunk.com"" datacentermoid=""datacenter-2"" clustermoid=""domain-c7"" hostsystemmoid=""host-20"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"" instanceUuid=""501200a4-4da4-bfaa-f6d0-d5ce6fa6a913"" uuid=""42124cd4-7654-72f6-a95a-dbbb19b76626"" typeduipath=""/Folder:VCENTER41/Datacenter:SPLUNK-VMI/ClusterComputeResource:SV502-Lab-01/ResourcePool:QA/"" uipath=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/QA/"" moid=""vm-1447"" type=""VirtualMachine"" name=""qasvwin7x64-HK1"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338435002
"2012-05-31 03:29:52 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/Resources/ITOps/"" Datacenter=""SPLUNK-VMI"" Cluster=""SV502-Lab-01"" HostSystem=""esxi4104.splunk.com"" physicalhost=""esxi4104.splunk.com"" datacentermoid=""datacenter-2"" clustermoid=""domain-c7"" hostsystemmoid=""host-20"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"" instanceUuid=""50127041-04d4-7c04-b381-7daa333399b9"" uuid=""4212c9c0-4b5e-d434-7498-3b17b0605b4e"" typeduipath=""/Folder:VCENTER41/Datacenter:SPLUNK-VMI/ClusterComputeResource:SV502-Lab-01/ResourcePool:ITOps/"" uipath=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/ITOps/"" moid=""vm-1647"" type=""VirtualMachine"" name=""ANTIVIR01"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338434992
"2012-05-31 03:29:52 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/Resources/ITOps/"" Datacenter=""SPLUNK-VMI"" Cluster=""SV502-Lab-01"" HostSystem=""esxi4102.splunk.com"" physicalhost=""esxi4102.splunk.com"" datacentermoid=""datacenter-2"" clustermoid=""domain-c7"" hostsystemmoid=""host-18"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-16"" instanceUuid=""5277badb-1342-e933-7dda-3d982779747d"" uuid=""564dc31d-0089-1fbb-57cd-a5373ac9c1db"" typeduipath=""/Folder:VCENTER41/Datacenter:SPLUNK-VMI/ClusterComputeResource:SV502-Lab-01/ResourcePool:ITOps/"" uipath=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/ITOps/"" moid=""vm-16"" type=""VirtualMachine"" name=""vCenter41"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338434992
"2012-05-31 03:29:45 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/"" Datacenter=""SPLUNK-VMI"" Cluster=""SV502-Lab-01"" clustermoid=""domain-c7"" datacentermoid=""datacenter-2"" hostsystemmoid=""host-20"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"" uuid=""44454c4c-5800-1052-8052-c4c04f425031"" typeduipath=""/Folder:VCENTER41/Datacenter:SPLUNK-VMI/ClusterComputeResource:SV502-Lab-01/"" uipath=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/"" moid=""host-20"" type=""HostSystem"" name=""esxi4104.splunk.com"" productLineId=""embeddedEsx"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338434985
"2012-05-31 03:29:44 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/"" Datacenter=""SPLUNK-VMI"" Cluster=""SV502-Lab-01"" clustermoid=""domain-c7"" datacentermoid=""datacenter-2"" hostsystemmoid=""host-19"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"" uuid=""44454c4c-5800-1051-8052-c4c04f425031"" typeduipath=""/Folder:VCENTER41/Datacenter:SPLUNK-VMI/ClusterComputeResource:SV502-Lab-01/"" uipath=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/"" moid=""host-19"" type=""HostSystem"" name=""esxi4103.splunk.com"" productLineId=""embeddedEsx"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338434984
"2012-05-31 03:29:40 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:group-d1"" instanceUuid=""593E6A61-A674-478C-82C2-8EDB92A22906"" typeduipath=""/"" uipath=""/"" moid=""group-d1"" type=""VirtualCenter"" name=""VCENTER41"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338434980
"2012-05-31 03:15:55 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VCENTER41"" path=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/Resources/Solutions/VMware/QA/"" Datacenter=""SPLUNK-VMI"" Cluster=""SV502-Lab-01"" HostSystem=""esxi4104.splunk.com"" physicalhost=""esxi4104.splunk.com"" datacentermoid=""datacenter-2"" clustermoid=""domain-c7"" hostsystemmoid=""host-20"" meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"" instanceUuid=""5012c9a3-1157-774d-6d43-7620a2a399de"" uuid=""4212765e-9013-6bca-547d-4b57f7add71f"" typeduipath=""/Folder:VCENTER41/Datacenter:SPLUNK-VMI/ClusterComputeResource:SV502-Lab-01/ResourcePool:Solutions/ResourcePool:VMware/ResourcePool:QA/"" uipath=""/VCENTER41/SPLUNK-VMI/SV502-Lab-01/Solutions/VMware/QA/"" moid=""vm-744"" type=""VirtualMachine"" name=""io-qa-splunk"" fa=""splunkvmwarefa""",vmware,VCENTER41,EntityViews,"vmware:hierarchy",1338434155
