"_raw",index,host,source,sourcetype,"_time"
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=6.00, SumPktsTx=2.00, instance=4000, perftype=net",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=1.00, AvgWr_KBps=9.00, instance=4eb7f266-2a89385a-3643-842b2b772db1, perfsubtype=dStore, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=1.00, AvgWr=1.00, AvgWr_KBps=9.00, instance=scsi0:0, perftype=vDisk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgUsg_mhz=54.00, MaxUsg_mhz=54.00, MinUsg_mhz=54.00, SumRdy_ms=9.00, SumSwpWait_ms=0.00, SumSys_ms=2.00, SumUsd_ms=409.00, SumWait_ms=19463.00, instance=0, perftype=cpu",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a674369716664, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgCmds=1.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=1.00, AvgWr_KBps=9.00, SumBusResets=0.00, SumCmds=34.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=34.00, instance=naa.60a9800064724939504a674369714449, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a674369746575, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgRvcd_KBps=0.00, AvgXmit_KBps=14.00, SumPktsRx=263.00, SumPktsTx=280.00, instance=4000, perftype=net",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=1.00, AvgWr_KBps=7.00, instance=4eb7f266-2a89385a-3643-842b2b772db1, perfsubtype=dStore, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=1.00, AvgWr_KBps=7.00, instance=scsi0:0, perftype=vDisk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgUsg_mhz=33.00, MaxUsg_mhz=33.00, MinUsg_mhz=33.00, SumRdy_ms=12.00, SumSwpWait_ms=0.00, SumSys_ms=4.00, SumUsd_ms=253.00, SumWait_ms=19503.00, instance=0, perftype=cpu",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a674369716664, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgCmds=1.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=1.00, AvgWr_KBps=7.00, SumBusResets=0.00, SumCmds=21.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=21.00, instance=naa.60a9800064724939504a674369714449, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=10.00, SumPktsTx=3.00, instance=4000, perftype=net",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f67436a423451, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f67436a2d4e48, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=0.00, AvgWr_KBps=0.00, instance=scsi0:0, perftype=vDisk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=0.00, AvgWr_KBps=0.00, instance=4eb7f135-2846b028-3627-842b2b772db1, perfsubtype=dStore, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgUsg_mhz=68.00, MaxUsg_mhz=68.00, MinUsg_mhz=68.00, SumRdy_ms=253.00, SumSwpWait_ms=0.00, SumSys_ms=0.00, SumUsd_ms=513.00, SumWait_ms=18765.00, instance=0, perftype=cpu",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f67436a414d44, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f67436a42584e, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-744,hmoid=4704,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"", moname=io-qa-splunk, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f67436a433878, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
